specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Chimie,86,55.0,10
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Electronique, Génie électrique, EEA",1,1.0,0
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Langues et littératures françaises,14,8.0,3
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",DCG,55,30.0,13
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",2,2.0,1
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Sciences de l'information et de la communication,15,9.0,4
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]","Licence Sciences de la vie, biologie, santé",4,4.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Sciences religieuses,0,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",BTS production,145,106.0,32
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Génie civil,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Sciences juridiques,184,145.0,62
"['Physique-Chimie', 'Sciences économiques et sociales']",Sciences Po,16,2.0,2
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Géographie,401,347.0,74
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence STAPS,8699,5702.0,2580
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Informatique,67,28.0,5
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Informatique,11,6.0,1
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",CPGE ECG,4,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",BTS production,1,1.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Chimie,6,4.0,1
"['Arts', 'Humanités, Littérature et Philosophie']","Licence Philosophie, Epistémologie",470,371.0,79
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Pluri Lettres - Sciences du langage - Arts,75,61.0,11
"['Arts', 'Humanités, Littérature et Philosophie']","Licence Sciences de l'univers, de la terre, de l'espace",2,0.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Sciences économiques,1,1.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Sciences Po,28,5.0,4
"['Arts', 'Humanités, Littérature et Philosophie']",Formations des écoles nationales vétérinaires,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]","Licence Psychlogie, Sciences cognitives",2,1.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",BUT Production,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",CPGE L,2,1.0,1
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Ecoles d'Ingénieurs,0,0.0,0
"['Arts', 'Mathématiques']",Licence Géographie,46,39.0,10
"['Arts', 'Mathématiques']",CPGE ECG,29,18.0,12
"['Arts', 'Numérique et Sciences Informatiques']","Licence Philosophie, Epistémologie",4,3.0,0
"['Arts', 'Physique-Chimie']",Licence Langues et littératures françaises,19,12.0,2
"['Arts', 'Physique-Chimie']",Licence STAPS,28,10.0,8
"['Arts', 'Sciences économiques et sociales']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Arts', 'Sciences économiques et sociales']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Arts', 'Sciences économiques et sociales']",Licence Sciences du langage - Linguistique,45,36.0,7
"['Arts', 'Sciences de la vie et de la terre']",Licence Génie civil,1,1.0,0
"['Arts', 'Sciences de la vie et de la terre']",Licence Pluri Langues,1,0.0,0
"['Arts', 'Sciences de la vie et de la terre']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Arts', 'Sciences de la vie et de la terre']",Formations des écoles nationales vétérinaires,7,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",CPGE ECG,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Ecoles d'Ingénieurs,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence LEA,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Pluri Sciences,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",CUPGE,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",D.E sanitaire,2,1.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Physique et chimie,2,1.0,0
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Sciences de l'information et de la communication,597,319.0,91
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Ensemble des candidats bacheliers,5914,5631.0,4979
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Chimie,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Langues et littératures françaises,2,2.0,0
"['Arts', 'Mathématiques']",Licence Sciences politiques,11,2.0,0
"['Arts', 'Mathématiques']","Licence Sociologie, Démographie",58,47.0,5
"['Arts', 'Numérique et Sciences Informatiques']",Licence Pluri Lettres - Langues - Sciences humaines,3,2.0,0
"['Arts', 'Numérique et Sciences Informatiques']",Licence Sciences de l'éducation,2,1.0,1
"['Arts', 'Physique-Chimie']",Licence Géographie,17,12.0,4
"['Arts', 'Physique-Chimie']",Licence Physique,28,17.0,3
"['Arts', 'Sciences économiques et sociales']",Licence Arts,827,626.0,272
"['Arts', 'Sciences économiques et sociales']","Licence Sciences de la vie, biologie, santé",4,2.0,0
"['Arts', 'Sciences de la vie et de la terre']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Licence Pluri Sciences,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",BUT Service,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences de gestion,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sociologie, Démographie",0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",D.E social,0,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Chimie,142,96.0,17
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Génie civil,1,1.0,1
"['Physique-Chimie', 'Biologie-Ecologie']","Licence Philosophie, Epistémologie",9,8.0,1
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Pluri Sciences humaines et sociales,4,4.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Arts,1,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Langues et littératures françaises,130,111.0,22
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Mathématiques et informatique,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Physique et chimie,1,1.0,0
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",D.E social,127,48.0,40
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Ecoles de Commerce,22,17.0,10
"['Humanités, Littérature et Philosophie', 'Mathématiques']",DEUST,9,3.0,1
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",CPGE S,2,0.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",3,2.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence Chimie,10,3.0,1
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence LEA,13,10.0,4
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence Langues et littératures françaises,34,32.0,5
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']","Licence Sociologie, Démographie",17,13.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",BTS service,28,7.0,4
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Pluri Sciences humaines et sociales,20,9.0,2
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",CUPGE,13,8.0,1
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Langues et littératures étrangères,193,159.0,35
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Mathématiques,4,2.0,2
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Pluri Sciences,30,19.0,1
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Ecoles d'Ingénieurs,1,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",DEUST,0,0.0,0
"['Arts', 'Sciences économiques et sociales']",DCG,21,7.0,3
"['Arts', 'Sciences de la vie et de la terre']",Licence LEA,41,32.0,7
"['Arts', 'Sciences de la vie et de la terre']",Licence MASS,1,1.0,1
"['Arts', 'Sciences de la vie et de la terre']",Licence Pluri Lettres - Langues - Sciences humaines,7,6.0,1
"['Arts', 'Sciences de la vie et de la terre']",BUT Production,77,20.0,6
"['Arts', 'Sciences de la vie et de la terre']",Ensemble des candidats bacheliers,816,733.0,569
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",CPGE S,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Sciences,0,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Las,454,198.0,57
"['Physique-Chimie', 'Biologie-Ecologie']",BUT Production,511,276.0,122
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Histoire,2,2.0,2
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Sciences politiques,42,12.0,5
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']","Licence Philosophie, Epistémologie",10,9.0,2
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Physique et chimie,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']","Licence Sociologie, Démographie",9,7.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",DCG,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']","Licence Sciences de la vie, biologie, santé",5,2.0,0
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",D.E social,211,95.0,82
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Chimie,24,11.0,4
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Génie civil,1,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Pluri Lettres - Sciences du langage - Arts,56,44.0,4
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",125,46.0,18
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",Formations des écoles nationales vétérinaires,0,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Sciences fondamentales et applications,7,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences de gestion,320,189.0,66
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Formations des écoles nationales vétérinaires,1,0.0,0
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Langues et littératures françaises,33,22.0,2
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Lettres - Sciences du langage - Arts,3,3.0,1
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences du langage - Linguistique,24,17.0,8
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Physique,60,27.0,10
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",15,3.0,0
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",CPGE ECG,16,5.0,4
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sociologie, Démographie",2947,2306.0,410
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences religieuses,1,1.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Physique et chimie,0,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]","Licence Psychlogie, Sciences cognitives",3,2.0,1
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Sciences de l'information et de la communication,5,1.0,1
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Lettres - Sciences du langage - Arts,1,1.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences humaines et sociales,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de l'information et de la communication,0,0.0,0
"['Numérique et Sciences Informatiques', 'Mathématiques']","Licence Philosophie, Epistémologie",54,39.0,4
"['Numérique et Sciences Informatiques', 'Mathématiques']",BTS agricole,50,34.0,13
"['Numérique et Sciences Informatiques', 'Mathématiques']",Ecoles de Commerce,119,94.0,71
"['Physique-Chimie', 'Mathématiques']",Licence Informatique,7710,5958.0,797
"['Physique-Chimie', 'Mathématiques']",DCG,1472,1031.0,357
"['Sciences économiques et sociales', 'Mathématiques']",Licence Pluri Sciences fondamentales et applications,9,1.0,0
"['Sciences économiques et sociales', 'Mathématiques']",Licence Pluri Sciences humaines et sociales,47,30.0,4
"['Sciences économiques et sociales', 'Mathématiques']",Licence Sciences du langage - Linguistique,186,155.0,23
"['Sciences économiques et sociales', 'Mathématiques']",Licence Sciences juridiques,6264,4525.0,1597
"['Sciences de la vie et de la terre', 'Mathématiques']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",34,28.0,7
"['Sciences de la vie et de la terre', 'Mathématiques']",Licence STAPS,7126,4806.0,2785
"['Sciences de la vie et de la terre', 'Mathématiques']",DEUST,582,230.0,56
"['Mathématiques', ""Sciences de l'ingénieur""]","Licence Sciences de la vie, biologie, santé",53,27.0,8
"['Mathématiques', ""Sciences de l'ingénieur""]",BTS service,745,351.0,119
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences politiques,0,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Physique et chimie,1,1.0,0
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence MASS,170,111.0,19
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Lettres - Langues - Sciences humaines,1,1.0,1
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",BTS agricole,1,1.0,1
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",D.E social,2,2.0,2
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Autres formations,2,1.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Sciences juridiques,348,269.0,134
"['Arts', 'Humanités, Littérature et Philosophie']",PASS,24,6.0,1
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences religieuses,2,2.0,1
"['Arts', 'Numérique et Sciences Informatiques']",BTS agricole,4,1.0,0
"['Arts', 'Physique-Chimie']",Licence Physique et chimie,15,9.0,1
"['Arts', 'Physique-Chimie']",Licence Pluri Sciences,3,3.0,1
"['Arts', 'Physique-Chimie']",Licence Sciences de l'éducation,12,5.0,2
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Géographie,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence LEA,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Physique et chimie,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",CPGE L,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",DCG,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",52,19.0,4
"['Biologie-Ecologie', 'Mathématiques']",Licence Las,135,37.0,13
"['Biologie-Ecologie', 'Mathématiques']",Ecoles d'Ingénieurs,38,29.0,21
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Mathématiques,22,14.0,1
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Mathématiques et informatique,0,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Sciences de gestion,11,1.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",BTS agricole,419,335.0,146
"['Physique-Chimie', 'Biologie-Ecologie']",D.E social,5,1.0,1
"['Sciences économiques et sociales', 'Biologie-Ecologie']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Mathématiques,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",PASS,7,1.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",CPGE L,118,98.0,69
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",CUPGE,19,11.0,2
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Formations des écoles nationales vétérinaires,2,0.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Génie civil,1,1.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Histoire,116,91.0,19
"['Humanités, Littérature et Philosophie', 'Mathématiques']",D.E sanitaire,52,14.0,11
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence LEA,9,7.0,1
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Pluri Lettres - Sciences du langage - Arts,1,1.0,1
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence MASS,6,3.0,0
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Pluri Lettres - Langues - Sciences humaines,298,210.0,24
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Pluri Sciences,50,38.0,6
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Sciences de gestion,200,84.0,24
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",CPGE ECG,196,74.0,36
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Formation générale aux métiers de l'ingénieur,5,3.0,1
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence LEA,126,97.0,25
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Pluri Lettres - Langues - Sciences humaines,113,68.0,9
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Pluri Sciences humaines et sociales,7,2.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Pluri Sciences économiques - Gestion,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",D.E sanitaire,0,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",Licence Chimie,0,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Ensemble des candidats bacheliers,4708,4466.0,3885
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",1,1.0,0
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Génie civil,9,2.0,0
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",191,104.0,21
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Lettres - Sciences du langage - Arts,21,18.0,1
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Sciences et technologies industrielles,1,0.0,0
"['Physique-Chimie', 'Mathématiques']",Licence Sciences et technologies industrielles,7458,4794.0,619
"['Sciences économiques et sociales', 'Mathématiques']",Licence Informatique,375,214.0,60
"['Sciences économiques et sociales', 'Mathématiques']",Licence Sciences de gestion,5068,3425.0,963
"['Sciences de la vie et de la terre', 'Mathématiques']",Licence Géographie,395,352.0,72
"['Sciences de la vie et de la terre', 'Mathématiques']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",4943,2618.0,586
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence MASS,179,127.0,18
"['Mathématiques', ""Sciences de l'ingénieur""]",Formations des écoles nationales vétérinaires,4,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence AES,0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence STAPS,0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",DCG,0,0.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Histoire,44,35.0,10
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Pluri Droit - Sciences éco - AES,1,0.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Sciences économiques,4,0.0,0
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Pluri Sciences humaines et sociales,2,1.0,0
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Informatique,138,88.0,31
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Pluri Sciences économiques - Gestion,14,10.0,3
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de l'information et de la communication,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Génie civil,9,7.0,3
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Pluri Langues,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Pluri Lettres - Langues - Sciences humaines,6,5.0,1
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Formation générale aux métiers de l'ingénieur,581,387.0,56
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Sciences et technologies industrielles,2235,1093.0,191
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Ecoles de Commerce,8,5.0,3
"['Physique-Chimie', ""Sciences de l'ingénieur""]",D.E social,0,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]","Licence Philosophie, Epistémologie",1,1.0,0
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",CPGE S,5,2.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]","Licence Sciences de l'univers, de la terre, de l'espace",2,1.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",CPGE L,1,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",CUPGE,0,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",BTS service,1220,477.0,195
"['Arts', 'Mathématiques']",Licence Mathématiques et informatique,3,1.0,0
"['Arts', 'Mathématiques']",Licence Sciences juridiques,118,94.0,30
"['Arts', 'Sciences économiques et sociales']",Licence STAPS,108,49.0,25
"['Arts', 'Sciences de la vie et de la terre']",Licence Pluri Sciences humaines et sociales,1,0.0,0
"['Arts', 'Sciences de la vie et de la terre']",Licence Sciences de gestion,6,5.0,2
"['Arts', 'Sciences de la vie et de la terre']",Licence Sciences juridiques,55,37.0,14
"['Arts', ""Sciences de l'ingénieur""]",Licence Pluri Langues,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Sciences Po,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Histoire,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Mathématiques,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Las,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Ecoles de Commerce,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Arts,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Mathématiques et informatique,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences juridiques,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Sciences de gestion,10,3.0,1
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Sciences du langage - Linguistique,8,6.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",D.E sanitaire,171,91.0,58
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Physique et chimie,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Sciences de gestion,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Autres formations,2,2.0,1
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Ecoles d'Ingénieurs,2,1.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Géographie,21,15.0,6
"['Humanités, Littérature et Philosophie', 'Mathématiques']","Licence Philosophie, Epistémologie",227,174.0,37
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Formations des écoles nationales vétérinaires,2,0.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence AES,1,0.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence Sciences et technologies industrielles,6,2.0,1
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",BTS service,341,154.0,54
