specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]","Licence Philosophie, Epistémologie",1,1.0,1
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]","Licence Psychlogie, Sciences cognitives",3,2.0,1
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences juridiques,2,2.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences économiques,0,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Pluri Langues,0,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Pluri Lettres - Langues - Sciences humaines,1,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Pluri Sciences économiques - Gestion,8,4.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Sciences religieuses,3,3.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",CPGE S,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Formations des écoles nationales vétérinaires,0,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",4,1.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",D.E social,33,16.0,14
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",DCG,7,2.0,1
"['Arts', 'Mathématiques']",Licence Langues et littératures étrangères,146,125.0,25
"['Arts', 'Physique-Chimie']",Licence Pluri Sciences humaines et sociales,0,0.0,0
"['Arts', 'Physique-Chimie']",BTS service,195,85.0,39
"['Arts', 'Sciences de la vie et de la terre']",Licence STAPS,140,78.0,48
"['Arts', 'Sciences de la vie et de la terre']",Licence Sciences économiques,3,1.0,0
"['Arts', ""Sciences de l'ingénieur""]",BUT Production,9,3.0,1
"['Arts', ""Sciences de l'ingénieur""]",DEUST,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Formations des écoles nationales vétérinaires,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Arts,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Sciences Po,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",CPGE S,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",CUPGE,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",D.E sanitaire,50,27.0,18
"['Sciences économiques et sociales', 'Biologie-Ecologie']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",DEUST,1,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]","Licence Electronique, Génie électrique, EEA",0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Mathématiques et informatique,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Lettres - Langues - Sciences humaines,60,46.0,10
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Lettres - Sciences du langage - Arts,27,20.0,5
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",D.E sanitaire,33,19.0,10
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Langues et littératures étrangères,4654,4091.0,1869
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de l'univers, de la terre, de l'espace",1,0.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Langues et littératures françaises,291,254.0,65
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Sciences de gestion,14,10.0,2
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Pluri Sciences économiques - Gestion,3,1.0,1
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence STAPS,3,1.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",DEUST,1,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Arts,3,2.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Formation générale aux métiers de l'ingénieur,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]","Licence Psychlogie, Sciences cognitives",1,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",Licence Génie civil,0,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",PASS,151,54.0,27
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Langues,8,2.0,2
